category,subcategory,count
Photo,energy,1
Photo,environment,1
Photo,environment-climate-change,1
Photo,global-elections,1
Photo,video-games,1
Physics and Math,unknown,6
Physics and Math,energy,1
Physics and Math,environment-climate-change,1
Politics,politics-news,267
Politics,disinformation,31
Politics,unknown,21
Politics,global-elections,15
Politics,policy,3
Politics,security-news,2
Politics,energy,1
Politics,extremism,1
Politics News,politics-news,2
Pranav Dixit,unknown,1
Privacy,unknown,1
Products,video-games,2
R. L. LaFevers,unknown,7
Rachel Cericola,unknown,36
Rachel Somerstein,unknown,4
Rachel Swaby,unknown,5
Rachel Zurer,unknown,11
Rafe Sagarin,unknown,1
Randy Alfred,unknown,34
Randy Dotinga,unknown,5
Raymond F. Masters,unknown,1
Raymond Masters,unknown,20
Rebecca Angel,unknown,44
Regina Lynn,unknown,183
Rena Kosnett,unknown,1
Reviews,unknown,1
Reviews,video-games,1
Rhett Allain,unknown,1
Richard Martin,unknown,1
Rick Broida,unknown,1
Rick Paulas,unknown,6
Rob Adams,unknown,3
Rob Walker,unknown,2
Robert Capps,unknown,2
Robert D. Ballard,unknown,1
Robert Sandlan,unknown,2
Robots,unknown,1
Roy Wood,unknown,58
Russ Neumeier,unknown,21
Ruth Suehle,unknown,47
Ryan Carlson,unknown,6
Ryan Paul - Ars Technica,unknown,5
Ryan Singel,unknown,6
Sara Bernard,unknown,2
Sara BreselorVictoria Tang,unknown,1
Sarah Filippi,unknown,1
Sarah Pinault,unknown,90
Science,unknown,9881
Science,health-medicine,1570
Science,environment-climate-change,871
Science,space,633
Science,environment,408
Science,biotech-genetic-engineering,211
Science,psychology-neuroscience,181
Science,energy,138
Science,politics-news,42
Science,policy,12
Science,artificial-intelligence,11
Science,transportation,7
Science,global-elections,4
Science,video-games,4
Science,books,1
Science,digital-culture,1
Science,disinformation,1
Science,privacy,1
Science,security-news,1
Scott Brown,unknown,8
Scott Carney,unknown,1
Scott Dadich,unknown,13
Scott Gilbertson,unknown,306
Scott Thill,unknown,161
Sean,unknown,3
Security,unknown,5023
Security,security-news,1104
Security,privacy,398
Security,cyberattacks-hacks,305
Security,security-advice,142
Security,politics-news,99
Security,global-elections,62
Security,disinformation,18
Security,health-medicine,10
Security,policy,10
Security,social-media,8
Security,video-games,7
Security,blockchain-cryptocurrency,5
Security,space,4
Security,artificial-intelligence,2
Security,energy,2
Security,transportation,1
Security News,security-news,4
Security News,unknown,1
Shane Snow,unknown,1
Sharon Begley,unknown,1
Shoshana Berger,unknown,1
Signe Brewster,unknown,1
Simon Norfolk,unknown,1
Social Media,social-media,2
Sonia Zjawinski,unknown,1
Sophie Brown,unknown,86
Space,space,3
Startups,unknown,1
Stephen Wark,unknown,1
Steve Silberman,unknown,3
Steven Edwards,unknown,1
Steven Kotler,unknown,1
Steven Leckart,unknown,15
Steven Levy,unknown,27
Steven Nereo,unknown,3
Stewart Rutledge,unknown,2
Suzanne Lazear,unknown,8
Sylvia A. Earle,unknown,1
TV,unknown,2
TV,digital-culture,1
TV,movies,1
TV,video-games,1
Tavis Allison,unknown,1
Tech Culture,tech-culture,1
Ted Greenwald,unknown,4
Teeuwynn Woodruff,unknown,1
Telecoms,unknown,1
Terrence Russell,unknown,2
The Backchannel Team,unknown,1
The Big Story,unknown,1026
The Big Story,politics-news,51
The Big Story,health-medicine,35
The Big Story,environment,24
The Big Story,environment-climate-change,21
The Big Story,books,20
The Big Story,digital-culture,17
The Big Story,social-media,15
The Big Story,psychology-neuroscience,12
The Big Story,transportation,12
The Big Story,video-games,12
The Big Story,cyberattacks-hacks,11
The Big Story,artificial-intelligence,10
The Big Story,privacy,10
The Big Story,movies,7
The Big Story,tech-culture,7
The Big Story,biotech-genetic-engineering,6
The Big Story,blockchain-cryptocurrency,6
The Big Story,space,6
The Big Story,computers-software,5
The Big Story,disinformation,3
The Big Story,security-news,2
The Big Story,energy,1
The Big Story,policy,1
Thomas Goetz,unknown,2
Thomas Hayden,unknown,1
Thomas Snyder,unknown,1
Tim Bailey,unknown,4
Tim Harford,unknown,1
Tim Leong,unknown,1
Tim McKeough,unknown,1
Tim Moynihan,unknown,1
Tom Angleberger,unknown,6
Tom Cheshire,unknown,1
Tom Stillwell,unknown,2
Tom Vanderbilt,unknown,1
Tony Borroz,unknown,3
Tony Long,unknown,75
Tony Sims,unknown,13
Transportation,transportation,1226
Transportation,unknown,698
Transportation,environment-climate-change,17
Transportation,video-games,4
Transportation,policy,3
